Chhattisgarh,MUNGELI,2011,Rabi       ,Potato,129,736
Chhattisgarh,MUNGELI,2011,Rabi       ,Rapeseed &Mustard,54,23
Chhattisgarh,MUNGELI,2011,Rabi       ,Safflower,120,45
Chhattisgarh,MUNGELI,2011,Rabi       ,Urad,46,11
Chhattisgarh,MUNGELI,2011,Rabi       ,Wheat,5890,7549
Chhattisgarh,MUNGELI,2011,Whole Year ,Banana,12,409
Chhattisgarh,MUNGELI,2011,Whole Year ,Coriander,165,44
Chhattisgarh,MUNGELI,2011,Whole Year ,Dry chillies,280,207
Chhattisgarh,MUNGELI,2011,Whole Year ,Dry ginger,105,132
Chhattisgarh,MUNGELI,2011,Whole Year ,Onion,200,1186
Chhattisgarh,MUNGELI,2011,Whole Year ,Sugarcane,234,1308
Chhattisgarh,MUNGELI,2011,Whole Year ,Sweet potato,16,104
Chhattisgarh,MUNGELI,2012,Kharif     ,Arhar/Tur,1745,1150
Chhattisgarh,MUNGELI,2012,Kharif     ,Castor seed,5,2
Chhattisgarh,MUNGELI,2012,Kharif     ,Groundnut,759,965
Chhattisgarh,MUNGELI,2012,Kharif     ,Jowar,1,1
Chhattisgarh,MUNGELI,2012,Kharif     ,Jute,38,
Chhattisgarh,MUNGELI,2012,Kharif     ,Maize,201,357
Chhattisgarh,MUNGELI,2012,Kharif     ,Moong(Green Gram),19,5
Chhattisgarh,MUNGELI,2012,Kharif     ,Other Kharif pulses,68,34
Chhattisgarh,MUNGELI,2012,Kharif     ,Rice,108920,245868
Chhattisgarh,MUNGELI,2012,Kharif     ,Sesamum,56,15
Chhattisgarh,MUNGELI,2012,Kharif     ,Small millets,668,197
Chhattisgarh,MUNGELI,2012,Kharif     ,Soyabean,5386,9344
Chhattisgarh,MUNGELI,2012,Kharif     ,Urad,87,22
Chhattisgarh,MUNGELI,2012,Rabi       ,Gram,15808,19975
Chhattisgarh,MUNGELI,2012,Rabi       ,Khesari,62985,35456
Chhattisgarh,MUNGELI,2012,Rabi       ,Linseed,345,144
Chhattisgarh,MUNGELI,2012,Rabi       ,Masoor,843,283
Chhattisgarh,MUNGELI,2012,Rabi       ,Moong(Green Gram),2,1
Chhattisgarh,MUNGELI,2012,Rabi       ,Other  Rabi pulses,57,24
Chhattisgarh,MUNGELI,2012,Rabi       ,Peas & beans (Pulses),246,97
Chhattisgarh,MUNGELI,2012,Rabi       ,Potato,123,1046
Chhattisgarh,MUNGELI,2012,Rabi       ,Rapeseed &Mustard,42,17
Chhattisgarh,MUNGELI,2012,Rabi       ,Safflower,134,51
Chhattisgarh,MUNGELI,2012,Rabi       ,Urad,41,10
Chhattisgarh,MUNGELI,2012,Rabi       ,Wheat,5734,8276
Chhattisgarh,MUNGELI,2012,Whole Year ,Banana,12,331
